W,h,n,classe_log2,N_min,N_max,ciclos,media_especies,desvio,ciclos_usados
4.0,0.50,50,1,1.0,2.3576802678421678,6,45.333333333333336,8.57126983980009,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005;ciclo_006
4.0,0.50,50,2,2.3576802678421678,5.558656245372316,6,27.333333333333332,4.273952113286561,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005;ciclo_006
4.0,0.50,50,3,5.558656245372316,13.105534145431939,6,37.5,6.978538528947161,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005;ciclo_006
4.0,0.50,50,4,13.105534145431939,30.898659254216657,6,41.833333333333336,6.013872850889572,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005;ciclo_006
4.0,0.50,50,5,30.898659254216657,72.84915922644541,6,55.166666666666664,7.386925386564201,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005;ciclo_006
4.0,0.50,50,6,72.84915922644541,171.75502523708246,6,71.0,6.29285308902091,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005;ciclo_006
4.0,0.50,50,7,171.75502523708246,404.94343390420295,6,95.66666666666667,11.003029885748136,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005;ciclo_006
4.0,0.50,50,8,404.94343390420295,954.7271437081886,6,111.16666666666667,6.493586579592718,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005;ciclo_006
4.0,0.50,50,9,954.7271437081886,2250.94134789411,6,77.16666666666667,5.49241901776136,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005;ciclo_006
4.0,0.50,50,10,2250.94134789411,5306.999999999997,6,13.0,3.40587727318528,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005;ciclo_006
4.0,0.99,3,1,1.0,2.318696864625919,6,39.166666666666664,8.886319072972041,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005;ciclo_006
4.0,0.99,3,2,2.318696864625919,5.3763551500260665,6,27.5,2.5099800796022267,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005;ciclo_006
4.0,0.99,3,3,5.3763551500260665,12.466137829480852,6,36.333333333333336,1.632993161855452,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005;ciclo_006
4.0,0.99,3,4,12.466137829480852,28.90519469921181,6,41.166666666666664,9.152413160837238,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005;ciclo_006
4.0,0.99,3,5,28.90519469921181,67.02238432046413,6,47.0,7.536577472566709,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005;ciclo_006
4.0,0.99,3,6,67.02238432046413,155.40459238361356,6,53.333333333333336,5.316640543300503,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005;ciclo_006
4.0,0.99,3,7,155.40459238361356,360.3361411083538,6,82.16666666666667,6.585337247754792,ciclo_001;ciclo_002;ciclo_003;ciclo_004;ciclo_005;ciclo_006
